Hz,V /sqrt(Hz)
42237.5,7.06E-08
42250,9.02E-08
42281.25,5.93E-08
42325,4.04E-08
42325,4.72E-08
42368.75,4.74E-08
42400,7.30E-08
42412.5,8.73E-08
42456.25,5.74E-08
42475,6.75E-08
42500,9.14E-08
42543.75,7.83E-08
42550,4.23E-08
42587.5,5.91E-08
42625,3.63E-08
42631.25,5.79E-08
42675,9.50E-08
42700,6.87E-08
42718.75,5.02E-08
42762.5,6.66E-08
42775,4.70E-08
42806.25,6.59E-08
42850,4.49E-08
42850,7.65E-08
42893.75,7.41E-08
42925,7.15E-08
42937.5,6.51E-08
42981.25,7.61E-08
43000,8.67E-08
43025,4.63E-08
43068.75,6.78E-08
43075,7.43E-08
43112.5,8.04E-08
43150,7.45E-08
43156.25,5.54E-08
43200,5.18E-08
43225,9.37E-08
43243.75,8.48E-08
43287.5,8.56E-08
43300,5.53E-08
43331.25,7.49E-08
43375,6.35E-08
43375,7.69E-08
43418.75,6.27E-08
43450,5.29E-08
43462.5,2.56E-08
43506.25,5.56E-08
43525,5.48E-08
43550,6.72E-08
43593.75,9.88E-08
43600,9.65E-08
43637.5,6.60E-08
43675,7.25E-08
43681.25,8.24E-08
43725,7.82E-08
43750,5.08E-08
43768.75,7.20E-08
43812.5,8.91E-08
43825,9.42E-08
43856.25,7.41E-08
43900,6.32E-08
43900,7.20E-08
43943.75,6.60E-08
43975,4.55E-08
43987.5,6.62E-08
44031.25,6.00E-08
44050,6.45E-08
44075,6.26E-08
44118.75,5.77E-08
44125,5.57E-08
44162.5,6.27E-08
44200,4.76E-08
44206.25,6.23E-08
44250,4.39E-08
44275,5.96E-08
44293.75,5.14E-08
44337.5,9.91E-08
44350,8.55E-08
44381.25,6.23E-08
44425,6.25E-08
44425,6.41E-08
44468.75,5.64E-08
44500,7.89E-08
44512.5,7.66E-08
44556.25,8.37E-08
44575,5.91E-08
44600,5.10E-08
44643.75,6.21E-08
44650,4.37E-08
44687.5,6.44E-08
44725,6.11E-08
44731.25,6.45E-08
44775,4.65E-08
44800,6.14E-08
44818.75,3.90E-08
44862.5,7.23E-08
44875,5.78E-08
44906.25,4.40E-08
44950,6.26E-08
44950,6.20E-08
44993.75,4.25E-08
45025,6.54E-08
45037.5,6.98E-08
45081.25,9.52E-08
45100,5.57E-08
45125,9.92E-08
45168.75,6.94E-08
45175,6.19E-08
45212.5,1.01E-07
45250,5.31E-08
45256.25,8.10E-08
45300,4.45E-08
45325,5.20E-08
45343.75,7.12E-08
45387.5,6.45E-08
45400,5.93E-08
45431.25,5.93E-08
45475,6.21E-08
45475,5.29E-08
45518.75,6.48E-08
45550,6.08E-08
45562.5,5.01E-08
45606.25,6.04E-08
45625,6.23E-08
45650,5.41E-08
45693.75,4.60E-08
45700,4.86E-08
45737.5,7.11E-08
45775,4.63E-08
45781.25,5.69E-08
45825,3.38E-08
45850,6.02E-08
45868.75,6.49E-08
45912.5,4.78E-08
45925,6.29E-08
45956.25,7.00E-08
46000,5.08E-08
46000,6.29E-08
46043.75,5.96E-08
46075,6.01E-08
46087.5,6.93E-08
46131.25,1.03E-07
46150,6.20E-08
46175,5.13E-08
46218.75,6.07E-08
46225,4.91E-08
46262.5,5.96E-08
46300,5.34E-08
46306.25,4.11E-08
46350,5.20E-08
46375,5.54E-08
46393.75,6.54E-08
46437.5,4.06E-08
46450,5.11E-08
46481.25,5.19E-08
46525,4.31E-08
46525,5.74E-08
46568.75,5.71E-08
46600,3.94E-08
46612.5,4.69E-08
46656.25,5.95E-08
46675,7.37E-08
46700,6.45E-08
46743.75,4.86E-08
46750,5.69E-08
46787.5,6.51E-08
46825,6.14E-08
46831.25,4.89E-08
46875,5.53E-08
46900,6.25E-08
46918.75,3.85E-08
46962.5,4.94E-08
46975,3.90E-08
47006.25,6.88E-08
47050,6.15E-08
47050,4.93E-08
47093.75,5.62E-08
47125,3.63E-08
47137.5,3.98E-08
47181.25,5.65E-08
47200,7.04E-08
47225,5.74E-08
47268.75,6.19E-08
47275,4.62E-08
47312.5,4.60E-08
47350,6.93E-08
47356.25,4.32E-08
47400,3.56E-08
47425,4.00E-08
47443.75,4.92E-08
47487.5,4.84E-08
47500,5.71E-08
47531.25,6.83E-08
47575,3.35E-08
47575,4.17E-08
47618.75,5.55E-08
47650,8.09E-08
47662.5,5.61E-08
47706.25,7.18E-08
47725,7.81E-08
47750,8.80E-08
47793.75,5.47E-08
47800,5.65E-08
47837.5,6.29E-08
47875,5.10E-08
47881.25,5.98E-08
47925,6.31E-08
47950,5.41E-08
47968.75,5.08E-08
48012.5,5.28E-08
48025,4.76E-08
48056.25,4.81E-08
48100,4.52E-08
48100,5.62E-08
48143.75,5.22E-08
48175,4.73E-08
48187.5,4.53E-08
48231.25,4.06E-08
48250,3.91E-08
48275,5.25E-08
48318.75,5.28E-08
48325,6.01E-08
48362.5,3.66E-08
48400,6.05E-08
48406.25,5.37E-08
48450,4.87E-08
48475,5.45E-08
48493.75,7.79E-08
48537.5,6.32E-08
48550,7.24E-08
48581.25,5.16E-08
48625,5.66E-08
48625,4.38E-08
48668.75,6.34E-08
48700,6.28E-08
48712.5,4.92E-08
48756.25,4.67E-08
48775,5.80E-08
48800,3.89E-08
48843.75,4.42E-08
48850,4.76E-08
48887.5,3.39E-08
48925,6.45E-08
48931.25,5.49E-08
48975,5.16E-08
49000,5.11E-08
49018.75,7.38E-08
49062.5,4.72E-08
49075,6.19E-08
49106.25,5.15E-08
49150,7.60E-08
49150,5.31E-08
49193.75,3.62E-08
49225,9.44E-08
49237.5,4.66E-08
49281.25,6.70E-08
49300,6.14E-08
49325,7.76E-08
49368.75,4.92E-08
49375,5.25E-08
49412.5,5.27E-08
49450,5.18E-08
49456.25,5.45E-08
49500,4.68E-08
49525,5.85E-08
49543.75,6.70E-08
49587.5,6.01E-08
49600,3.10E-08
49631.25,6.41E-08
49675,4.54E-08
49675,5.08E-08
49718.75,4.84E-08
49750,6.22E-08
49762.5,5.19E-08
49806.25,4.98E-08
49825,6.09E-08
49850,6.51E-08
49893.75,6.39E-08
49900,3.97E-08
49937.5,5.64E-08
49975,3.98E-08
49981.25,4.67E-08
50000,4.75E-08
50025,5.16E-08
50050,5.23E-08
50068.75,3.99E-08
50112.5,5.23E-08
50125,6.71E-08
50156.25,4.48E-08
50200,5.71E-08
50200,4.54E-08
50243.75,4.03E-08
50275,5.10E-08
50287.5,6.20E-08
50331.25,6.49E-08
50350,5.21E-08
50375,7.78E-08
50375,4.25E-08
50418.75,5.38E-08
50425,3.82E-08
50462.5,5.15E-08
50500,4.46E-08
50506.25,7.96E-08
50550,4.83E-08
50575,5.68E-08
50593.75,3.47E-08
50637.5,3.89E-08
50650,5.42E-08
50681.25,3.95E-08
50725,3.78E-08
50725,4.09E-08
50750,3.00E-08
50768.75,6.11E-08
50800,7.32E-08
50812.5,5.22E-08
50856.25,4.67E-08
50875,5.37E-08
50900,6.16E-08
50943.75,4.38E-08
50950,3.22E-08
50987.5,4.82E-08
51025,3.84E-08
51031.25,5.12E-08
51075,5.27E-08
51100,3.62E-08
51118.75,4.94E-08
51125,4.99E-08
51162.5,5.24E-08
51175,4.13E-08
51206.25,4.24E-08
51250,6.05E-08
51250,4.30E-08
51293.75,5.37E-08
51325,5.83E-08
51337.5,3.95E-08
51381.25,5.89E-08
51400,4.45E-08
51425,4.32E-08
51468.75,4.46E-08
51475,4.71E-08
51500,4.48E-08
51512.5,4.15E-08
51550,5.96E-08
51556.25,5.88E-08
51600,4.47E-08
51625,7.20E-08
51643.75,3.46E-08
51687.5,4.18E-08
51700,5.89E-08
51731.25,4.57E-08
51775,3.35E-08
51775,3.98E-08
51818.75,5.25E-08
51850,8.74E-08
51862.5,4.59E-08
51875,4.61E-08
51906.25,5.62E-08
51925,4.17E-08
51950,5.16E-08
51993.75,3.75E-08
52000,5.12E-08
52037.5,5.56E-08
52075,5.99E-08
52081.25,3.73E-08
52125,4.41E-08
52150,5.89E-08
52168.75,4.62E-08
52212.5,3.96E-08
52225,5.01E-08
52250,4.94E-08
52256.25,4.69E-08
52300,3.70E-08
52300,5.68E-08
52343.75,5.20E-08
52375,7.02E-08
52387.5,4.17E-08
52431.25,5.66E-08
52450,4.46E-08
52475,5.30E-08
52518.75,3.89E-08
52525,4.48E-08
52562.5,4.48E-08
52600,6.32E-08
52606.25,5.03E-08
52625,6.59E-08
52650,4.05E-08
52675,2.49E-08
52693.75,4.55E-08
52737.5,4.80E-08
52750,5.07E-08
52781.25,6.86E-08
52825,5.60E-08
52825,4.68E-08
52868.75,3.91E-08
52900,5.75E-08
52912.5,4.83E-08
52956.25,5.03E-08
52975,4.52E-08
53000,5.94E-08
53000,5.16E-08
53043.75,2.69E-08
53050,5.91E-08
53087.5,6.16E-08
53125,4.90E-08
53131.25,5.94E-08
53175,5.65E-08
53200,4.22E-08
53218.75,5.61E-08
53262.5,4.33E-08
53275,4.38E-08
53306.25,6.11E-08
53350,5.24E-08
53350,3.75E-08
53375,4.26E-08
53393.75,4.70E-08
53425,3.60E-08
53437.5,5.23E-08
53481.25,6.56E-08
53500,6.06E-08
53525,5.51E-08
53568.75,9.91E-08
53575,7.91E-08
53612.5,7.67E-08
53650,4.18E-08
53656.25,9.01E-08
53700,3.71E-08
53725,4.34E-08
53743.75,5.72E-08
53750,5.24E-08
53787.5,4.29E-08
53800,9.21E-08
53831.25,8.09E-08
53875,7.60E-08
53875,1.18E-07
53918.75,3.27E-08
53950,5.34E-08
53962.5,6.53E-08
54006.25,6.68E-08
54025,6.00E-08
54050,5.98E-08
54093.75,3.78E-08
54100,3.56E-08
54125,7.62E-08
54137.5,7.32E-08
54175,5.91E-08
54181.25,5.38E-08
54225,5.09E-08
54250,4.23E-08
54268.75,1.02E-07
54312.5,3.42E-08
54325,3.55E-08
54356.25,8.75E-08
54400,5.97E-08
54400,6.39E-08
54443.75,7.46E-08
54475,1.20E-07
54487.5,5.09E-08
54500,6.31E-08
54531.25,3.65E-08
54550,5.68E-08
54575,5.36E-08
54618.75,5.27E-08
54625,6.12E-08
54662.5,6.42E-08
54700,3.76E-08
