f,noise
3.30964e+07,-82.8497
3.31588e+07,-81.3047
3.32211e+07,-81.3915
3.32835e+07,-82.8364
3.33459e+07,-82.4951
3.34082e+07,-81.4678
3.34706e+07,-83.245
3.3533e+07,-84.0363
3.35954e+07,-82.0951
3.36578e+07,-82.3715
3.37201e+07,-84.0212
3.37825e+07,-83.6736
3.38449e+07,-81.423
3.39072e+07,-83.3392
3.39696e+07,-81.792
3.4032e+07,-81.667
3.40944e+07,-81.4006
3.41568e+07,-82.5932
3.42191e+07,-82.481
3.42815e+07,-81.7458
3.43439e+07,-82.5179
3.44062e+07,-83.4759
3.44686e+07,-82.9247
3.4531e+07,-82.2123
3.45934e+07,-82.9375
3.46558e+07,-80.4093
3.47181e+07,-81.8019
3.47805e+07,-83.5728
3.48429e+07,-83.6431
3.49052e+07,-82.5917
3.49676e+07,-81.6539
3.503e+07,-85.2378
3.50924e+07,-82.5027
3.51548e+07,-84.5465
3.52171e+07,-80.9764
3.52795e+07,-81.1163
3.53419e+07,-84.6271
3.54042e+07,-81.8876
3.54666e+07,-83.4996
3.5529e+07,-84.0296
3.55914e+07,-84.824
3.56538e+07,-82.826
3.57161e+07,-81.7808
3.57785e+07,-82.8655
3.58409e+07,-81.7455
3.59032e+07,-84.1821
3.59656e+07,-82.972
3.6028e+07,-82.6292
3.60904e+07,-82.5263
3.61528e+07,-83.3285
3.62151e+07,-84.1969
3.62775e+07,-85.1967
3.63399e+07,-83.3843
3.64022e+07,-84.7892
3.64646e+07,-82.1017
3.6527e+07,-82.4872
3.65894e+07,-86.5263
3.66518e+07,-84.8887
3.67141e+07,-86.1496
3.67765e+07,-84.805
3.68389e+07,-84.1186
3.69012e+07,-84.1032
3.69636e+07,-84.242
3.7026e+07,-83.9812
3.70884e+07,-83.3828
3.71508e+07,-84.0264
3.72131e+07,-84.738
3.72755e+07,-84.7544
3.73379e+07,-85.4412
3.74002e+07,-85.5671
3.74626e+07,-83.9051
3.7525e+07,-83.5528
3.75874e+07,-82.6261
3.76498e+07,-84.0864
3.77121e+07,-85.2461
3.77745e+07,-84.3658
3.78369e+07,-84.1013
3.78992e+07,-84.903
3.79616e+07,-84.04
3.8024e+07,-85.124
3.80864e+07,-84.6706
3.81488e+07,-86.3429
3.82111e+07,-85.4038
3.82735e+07,-84.0546
3.83359e+07,-85.0547
3.83982e+07,-84.333
3.84606e+07,-84.2859
3.8523e+07,-82.4324
3.85854e+07,-85.5648
3.86478e+07,-85.0199
3.87101e+07,-84.6204
3.87725e+07,-83.9025
3.88349e+07,-84.8509
3.88972e+07,-85.8218
3.89596e+07,-85.1049
3.9022e+07,-83.5931
3.90844e+07,-83.9922
3.91468e+07,-84.1448
3.92091e+07,-82.8853
3.92715e+07,-84.253
3.93339e+07,-84.8834
3.93962e+07,-85.2602
3.94586e+07,-85.9714
3.9521e+07,-85.419
3.95834e+07,-85.6173
3.96458e+07,-84.967
3.97081e+07,-84.7992
3.97705e+07,-83.4341
3.98329e+07,-83.6495
3.98952e+07,-85.0345
3.99576e+07,-81.7607
4.002e+07,-85.2765
4.00824e+07,-83.8254
4.01448e+07,-84.3769
4.02071e+07,-82.3913
4.02695e+07,-84.9827
4.03319e+07,-84.472
4.03942e+07,-83.32
4.04566e+07,-86.5389
4.0519e+07,-84.9992
4.05814e+07,-82.8427
4.06438e+07,-82.3778
4.07061e+07,-85.4524
4.07685e+07,-85.7251
4.08309e+07,-85.3101
4.08932e+07,-85.542
4.09556e+07,-85.2396
4.1018e+07,-84.8299
4.10804e+07,-84.8464
4.11428e+07,-86.2383
4.12051e+07,-83.0155
4.12675e+07,-84.7629
4.13299e+07,-84.913
4.13922e+07,-82.5669
4.14546e+07,-85.8917
4.1517e+07,-84.1093
4.15794e+07,-86.2374
4.16418e+07,-85.3261
4.17041e+07,-86.1203
4.17665e+07,-86.0432
4.18289e+07,-86.1007
4.18912e+07,-82.6564
4.19536e+07,-84.7285
4.2016e+07,-86.2562
4.20784e+07,-85.2374
4.21408e+07,-84.1696
4.22031e+07,-84.6134
4.22655e+07,-83.9106
4.23279e+07,-84.6458
4.23902e+07,-86.2751
4.24526e+07,-84.744
4.2515e+07,-88.2328
4.25774e+07,-83.4997
4.26398e+07,-84.961
4.27021e+07,-85.5747
4.27645e+07,-83.7904
4.28269e+07,-84.3242
4.28892e+07,-84.6938
4.29516e+07,-85.0455
4.3014e+07,-85.4121
4.30764e+07,-85.8509
4.31388e+07,-86.4326
4.32011e+07,-84.9093
4.32635e+07,-84.5465
4.33259e+07,-84.6929
4.33882e+07,-84.8418
4.34506e+07,-87.4526
4.3513e+07,-84.3544
4.35754e+07,-88.206
4.36378e+07,-86.8214
4.37001e+07,-85.0269
4.37625e+07,-85.7007
4.38249e+07,-81.5906
4.38872e+07,-87.5652
4.39496e+07,-84.9754
4.4012e+07,-84.4647
4.40744e+07,-86.6955
4.41368e+07,-85.9621
4.41991e+07,-86.2126
4.42615e+07,-84.1964
4.43239e+07,-83.8616
4.43862e+07,-86.9042
4.44486e+07,-84.5119
4.4511e+07,-85.6075
4.45734e+07,-87.2496
4.46358e+07,-85.3025
4.46981e+07,-86.7983
4.47605e+07,-85.1971
4.48229e+07,-87.9849
4.48852e+07,-84.4151
4.49476e+07,-84.4628
4.501e+07,-87.6088
4.50724e+07,-87.5629
4.51348e+07,-87.1826
4.51971e+07,-87.5398
4.52595e+07,-83.0754
4.53219e+07,-86.1713
4.53842e+07,-84.5746
4.54466e+07,-86.0167
4.5509e+07,-87.4485
4.55714e+07,-86.4278
4.56338e+07,-86.6718
4.56961e+07,-83.4223
4.57585e+07,-85.3002
4.58209e+07,-85.0057
4.58832e+07,-84.1622
4.59456e+07,-87.5611
4.6008e+07,-87.0938
4.60704e+07,-85.8825
4.61328e+07,-84.7532
4.61951e+07,-85.0049
4.62575e+07,-87.447
4.63199e+07,-86.2476
4.63822e+07,-86.6291
4.64446e+07,-85.1417
4.6507e+07,-85.7322
4.65694e+07,-86.7528
4.66318e+07,-87.2676
4.66941e+07,-85.5305
4.67565e+07,-86.8152
4.68189e+07,-85.4223
4.68812e+07,-85.9187
4.69436e+07,-85.9755
4.7006e+07,-85.3685
4.70684e+07,-85.566
4.71308e+07,-87.0915
4.71931e+07,-87.5815
4.72555e+07,-86.0131
4.73179e+07,-85.7677
4.73802e+07,-83.7075
4.74426e+07,-86.1283
4.7505e+07,-87.9078
4.75674e+07,-86.5654
4.76298e+07,-85.8606
4.76921e+07,-86.709
4.77545e+07,-85.4743
4.78169e+07,-87.4891
4.78792e+07,-87.6031
4.79416e+07,-82.4899
4.8004e+07,-83.3329
4.80664e+07,-86.1659
4.81288e+07,-83.5461
4.81911e+07,-85.5638
4.82535e+07,-85.992
4.83159e+07,-86.7702
4.83782e+07,-86.6046
4.84406e+07,-86.5027
4.8503e+07,-88.2208
4.85654e+07,-84.126
4.86278e+07,-85.9722
4.86901e+07,-85.6909
4.87525e+07,-87.1535
4.88149e+07,-85.5263
4.88772e+07,-88.0249
4.89396e+07,-88.5982
4.9002e+07,-85.2586
4.90644e+07,-85.2585
4.91268e+07,-87.0443
4.91891e+07,-85.4714
4.92515e+07,-86.4607
4.93139e+07,-86.6851
4.93762e+07,-86.2219
4.94386e+07,-85.7264
4.9501e+07,-87.646
4.95634e+07,-85.8005
4.96258e+07,-87.1518
4.96881e+07,-86.6843
4.97505e+07,-87.6224
4.98129e+07,-87.3725
4.98752e+07,-86.3393
4.99376e+07,-84.7126
5e+07,-86.9782
