f,gain
4.25774e+07,-26.3603
4.26398e+07,-26.3919
4.27021e+07,-26.4277
4.27645e+07,-26.4647
4.28269e+07,-26.4956
4.28892e+07,-26.5319
4.29516e+07,-26.564
4.3014e+07,-26.5978
4.30764e+07,-26.631
4.31388e+07,-26.669
4.32011e+07,-26.6973
4.32635e+07,-26.7284
4.33259e+07,-26.7637
4.33882e+07,-26.7959
4.34506e+07,-26.8343
4.3513e+07,-26.8583
4.35754e+07,-26.8998
4.36378e+07,-26.931
4.37001e+07,-26.9672
4.37625e+07,-26.9892
4.38249e+07,-27.0263
4.38872e+07,-27.0481
4.39496e+07,-27.0886
4.4012e+07,-27.1172
4.40744e+07,-27.1579
4.41368e+07,-27.1866
4.41991e+07,-27.2206
4.42615e+07,-27.2476
4.43239e+07,-27.2863
4.43862e+07,-27.3084
4.44486e+07,-27.342
4.4511e+07,-27.3722
4.45734e+07,-27.4035
4.46358e+07,-27.4372
4.46981e+07,-27.469
4.47605e+07,-27.4989
4.48229e+07,-27.5307
4.48852e+07,-27.559
4.49476e+07,-27.593
4.501e+07,-27.6204
4.50724e+07,-27.6498
4.51348e+07,-27.6808
4.51971e+07,-27.7091
4.52595e+07,-27.7453
4.53219e+07,-27.7687
4.53842e+07,-27.8031
4.54466e+07,-27.8394
4.5509e+07,-27.8662
4.55714e+07,-27.896
4.56338e+07,-27.9319
4.56961e+07,-27.9597
4.57585e+07,-27.99
4.58209e+07,-28.0224
4.58832e+07,-28.0483
4.59456e+07,-28.083
4.6008e+07,-28.1158
4.60704e+07,-28.1455
4.61328e+07,-28.174
4.61951e+07,-28.2022
4.62575e+07,-28.2383
4.63199e+07,-28.2715
4.63822e+07,-28.3035
4.64446e+07,-28.3204
4.6507e+07,-28.3599
4.65694e+07,-28.3931
4.66318e+07,-28.422
4.66941e+07,-28.448
4.67565e+07,-28.4794
4.68189e+07,-28.5139
4.68812e+07,-28.5371
4.69436e+07,-28.575
4.7006e+07,-28.6026
4.70684e+07,-28.6246
4.71308e+07,-28.6603
4.71931e+07,-28.6882
4.72555e+07,-28.7156
4.73179e+07,-28.7445
4.73802e+07,-28.7816
4.74426e+07,-28.8032
4.7505e+07,-28.8306
4.75674e+07,-28.8595
4.76298e+07,-28.8918
4.76921e+07,-28.9229
4.77545e+07,-28.9448
4.78169e+07,-28.977
4.78792e+07,-29.002
4.79416e+07,-29.0372
4.8004e+07,-29.0636
4.80664e+07,-29.0916
4.81288e+07,-29.1207
4.81911e+07,-29.1502
4.82535e+07,-29.1807
4.83159e+07,-29.2056
4.83782e+07,-29.2312
4.84406e+07,-29.2641
4.8503e+07,-29.2937
4.85654e+07,-29.3191
4.86278e+07,-29.3502
4.86901e+07,-29.3755
4.87525e+07,-29.3991
4.88149e+07,-29.4345
4.88772e+07,-29.4651
4.89396e+07,-29.489
4.9002e+07,-29.5144
4.90644e+07,-29.5465
4.91268e+07,-29.575
4.91891e+07,-29.6092
4.92515e+07,-29.6276
4.93139e+07,-29.6631
4.93762e+07,-29.6833
4.94386e+07,-29.7084
4.9501e+07,-29.7479
4.95634e+07,-29.7683
4.96258e+07,-29.7976
4.96881e+07,-29.8335
4.97505e+07,-29.8555
4.98129e+07,-29.8785
4.98752e+07,-29.9062
4.99376e+07,-29.943
5e+07,-29.9654
